bar_prev,bar_curr,mode,inter_distance,dist_before_prev,dist_after_prev,dist_before_curr,return_long,return_short,mae_long,mae_short,prev_val_small,prev_val_large,prev_above_zero_small,prev_above_zero_large,prev_cross_up,prev_small_slope,prev_large_slope,prev_amp_small,prev_amp_large,prev_atr,prev_composite,prev_pr_status,prev_pr_peak,prev_pr_trough,curr_val_small,curr_val_large,curr_above_zero_small,curr_above_zero_large,curr_cross_up,curr_small_slope,curr_large_slope,curr_amp_small,curr_amp_large,curr_atr,curr_composite,curr_pr_status,curr_pr_peak,curr_pr_trough,asset
6891,7680,norm,789,0.0435651367525007,0.0416838040516695,0.0804553684815675,1.3325377883850291,-1.3325377883850291,0.1988862370723947,6.125696101829741,-0.8980461849581644,-0.8989571446304242,False,False,True,0.0014531461094151,-0.0014241783657677,0.0102722277994793,0.0042487367574679,0.0011071428571428,-0.0028773244751828,neutral,False,False,0.62574824300102,0.6268530036896014,True,True,False,-0.0042600337809596,0.0010651258778668,0.0094389676403215,0.0030934715306837,0.0005857142857142,-0.0053251596588264,neutral,False,False,CRV_USDT
7680,8487,norm,807,0.0804553684815675,0.0756376974043791,0.5999126947284797,-1.570166830225713,1.570166830225713,2.394504416094197,1.7075564278704696,0.62574824300102,0.6268530036896014,True,True,False,-0.0042600337809596,0.0010651258778668,0.0094389676403215,0.0030934715306837,0.0005857142857142,-0.0053251596588264,neutral,False,False,-0.1177080472354534,-0.1521667673403423,False,False,True,0.0035464800758379,-0.0449219573589824,0.0075526409324743,0.0006280273550385,0.0006142857142857,-0.0484684374348203,neutral,False,False,CRV_USDT
8487,9760,norm,1273,0.5999126947284797,0.5200037548080485,0.0461700158415173,3.2701894317049023,-3.2701894317049023,1.455633100697901,3.2701894317049023,-0.1177080472354534,-0.1521667673403423,False,False,True,0.0035464800758379,-0.0449219573589824,0.0075526409324743,0.0006280273550385,0.0006142857142857,-0.0484684374348203,neutral,False,False,0.8396040050437292,0.8419108224908806,True,True,False,-0.0020572902444269,0.0011057690417712,0.0070338492712487,0.0087412054312519,0.00125,-0.0031630592861982,neutral,True,False,CRV_USDT
9760,11889,norm,2129,0.0461700158415173,0.0489011767936194,0.0541665167603538,1.5253910021239656,-1.5253910021239656,0.6758061401815135,6.005020274184209,0.8396040050437292,0.8419108224908806,True,True,False,-0.0020572902444269,0.0011057690417712,0.0070338492712487,0.0087412054312519,0.00125,-0.0031630592861982,neutral,True,False,-0.7547074468477614,-0.7559102246879436,False,False,True,0.0023973223224716,-0.0011415567678616,0.0050020282276256,0.011091383706937,0.0007428571428571,-0.0035388790903332,neutral,False,True,CRV_USDT
11889,14005,norm,2116,0.0541665167603538,0.053594554404648,0.4113193175914951,-6.219094712818574,6.219094712818574,6.88474705211108,0.2662609357169944,-0.7547074468477614,-0.7559102246879436,False,False,True,0.0023973223224716,-0.0011415567678616,0.0050020282276256,0.011091383706937,0.0007428571428571,-0.0035388790903332,neutral,False,True,0.231064373276581,0.550249017968886,True,True,False,-0.0743490258075768,0.0006461939674268,4.277417099292794e-05,0.0152477835798826,0.0003642857142857,-0.0749952197750037,neutral,False,False,CRV_USDT
14005,14649,norm,644,0.4113193175914951,1.4459303848734162,0.0649069712899396,0.7300750354897572,-0.7300750354897572,0.6286757250050683,1.4398702088825786,0.231064373276581,0.550249017968886,True,True,False,-0.0743490258075768,0.0006461939674268,4.277417099292794e-05,0.0152477835798826,0.0003642857142857,-0.0749952197750037,neutral,False,False,0.5384807725294178,0.535958278511039,True,True,True,0.0027589302471385,-0.0015686238601221,0.0034869591594602,0.0042269721613786,0.0002357142857142,0.0043275541072607,os_reversal,False,False,CRV_USDT
14649,15187,norm,538,0.0649069712899396,0.0538474499469112,0.2042148029455756,-0.7650493255486149,0.7650493255486149,1.248238373263536,0.1207972619287386,0.5384807725294178,0.535958278511039,True,True,True,0.0027589302471385,-0.0015686238601221,0.0034869591594602,0.0042269721613786,0.0002357142857142,0.0043275541072607,os_reversal,False,False,-0.193596398850261,-0.1915667679023834,False,False,False,-0.0130253022342857,-0.0005347860138138,0.0005704369529697,0.0027321269740503,0.0002285714285714,0.0124905162204719,neutral,False,False,CRV_USDT
15187,15598,norm,411,0.2042148029455756,0.1565468477653041,0.0662480821990465,1.3187259078920686,-1.3187259078920686,0.6897950902820073,2.5562994522215345,-0.193596398850261,-0.1915667679023834,False,False,False,-0.0130253022342857,-0.0005347860138138,0.0005704369529697,0.0027321269740503,0.0002285714285714,0.0124905162204719,neutral,False,False,0.6446215433875484,0.6434958685073101,True,True,True,0.0061932468765274,0.0021150611597745,0.0012825286468312,0.0030451824397873,0.0003142857142857,0.0040781857167529,neutral,False,False,CRV_USDT
15598,15858,norm,260,0.0662480821990465,0.052932024451593,0.0265813888206652,0.4405286343612405,-0.4405286343612405,0.8410092110532712,0.6808169803764546,0.6446215433875484,0.6434958685073101,True,True,True,0.0061932468765274,0.0021150611597745,0.0012825286468312,0.0030451824397873,0.0003142857142857,0.0040781857167529,neutral,False,False,0.9425993114629632,0.9431565815047426,True,True,False,-0.0008104303732784,0.0008872902734274,0.0026624756771994,0.0026232734096234,0.0002071428571428,-0.0016977206467059,neutral,False,False,CRV_USDT
15858,17475,norm,1617,0.0265813888206652,0.0239436520784837,0.0756422494754964,2.013556618819776,-2.013556618819776,0.7575757575757627,2.4920255183412987,0.9425993114629632,0.9431565815047426,True,True,False,-0.0008104303732784,0.0008872902734274,0.0026624756771994,0.0026232734096234,0.0002071428571428,-0.0016977206467059,neutral,False,False,-0.6772971590919474,-0.6817693922378564,False,False,True,0.0046769001099056,-0.0007306300700092,0.0034266797014573,0.0069810804379787,0.0007999999999999,-0.0054075301799149,neutral,False,False,CRV_USDT
17475,18332,norm,857,0.0756422494754964,0.0816798365450719,0.2303330778776635,-0.6253664256400413,0.6253664256400413,2.169239788938831,1.0162204416650344,-0.6772971590919474,-0.6817693922378564,False,False,True,0.0046769001099056,-0.0007306300700092,0.0034266797014573,0.0069810804379787,0.0007999999999999,-0.0054075301799149,neutral,False,False,-0.4753612257451949,-0.4725758592626687,False,False,False,-0.0018378172600186,0.0150581877343472,0.0018843079593201,0.0004720394529736,0.0006857142857142,0.0168960049943658,neutral,False,False,CRV_USDT
18332,20874,norm,2542,0.2303330778776635,0.2415018572364789,0.0448212325235757,11.012782694198634,-11.012782694198634,0.8259587020648933,11.622418879056056,-0.4753612257451949,-0.4725758592626687,False,False,False,-0.0018378172600186,0.0150581877343472,0.0018843079593201,0.0004720394529736,0.0006857142857142,0.0168960049943658,neutral,False,False,-0.1447516509881468,-0.1462131597685034,False,False,True,0.0023852117210596,-0.0004457375875912,0.0073378787597961,0.0226387598372963,0.0006928571428571,-0.0028309493086508,neutral,False,False,CRV_USDT
